feature_mentioned,competitor_mentioned,specific_complaint,is_actionable,review_id,review_text,parse_error
music,,,False,0,This sound track was beautiful! It paints the senery in your mind so well I would recomend it even t,
game soundtrack,,,False,1,I'm reading a lot of reviews saying that this is the best 'game soundtrack' and I figured that I'd w,
game,,,False,2,"This soundtrack is my favorite music of all time, hands down. The intense sadness of ""Prisoners of F",
video game music,,,False,3,I truly like this soundtrack and I enjoy video game music. I have played this game and most of the m,
music,,,False,4,"If you've played the game, you know how divine the music is! Every single song tells a story of the ",
Mitsuda,,,False,5,"I am quite sure any of you actually taking the time to read this have played the game at least once,",
self-published book,,"Those 5 star reviews must have been written by Ms. Haddon's family and friends--or perhaps, by herself!",False,6,"This is a self-published book, and if you want to know why--read a few paragraphs! Those 5 star revi",
,,None,False,7,I loved Whisper of the wicked saints. The story was amazing and I was pleasantly surprised at the ch,
,,,False,8,I just finished reading Whisper of the Wicked saints. I fell in love with the caracters. I expected ,
quality,,,False,9,"This was a easy to read book that made me want to keep reading on and on, not easy to put down.It le",
Typographical errors,,poor grammar and a totally pathetic plot add up to absolutely nothing,False,10,"A complete waste of time. Typographical errors, poor grammar, and a totally pathetic plot add up to ",
,,,False,11,"This was a great book,I just could not put it down,and could not read it fast enough. Boy what a boo",
null,null,null,False,12,"I thought this book was brilliant, but yet realistic. It showed me that to error is human. I loved t",
quality,,It is absolute drivel.,False,13,"I guess you have to be a romance novel lover for this one, and not a very discerning one. All others",
shipping,null,This book seems to have been written by a 7th grader with poor grammatical skills for her age!,False,14,I feel I have to write to keep others from wasting their money. This book seems to have been written,
,,,False,15,"It's glaringly obvious that all of the glowing reviews have been written by the same person, perhaps",True
,BY THE SEA,,False,16,"When you hear folks say that they don't make 'em like that anymore, they might be talking about ""BY ",
compression stockings,Jobst UltraSheer,None,False,17,After I had a DVT my doctor required me to wear compression stockings. I wore ugly white TED hose an,
shipping,,they are very difficult to get on for older people and cause a deep ridge in the skin after a day,False,18,"Excellent product. However, they are very difficult to get on for older people. I feel like I've had",
shipping,,sizes are much smaller than what is recommended in the chart,False,19,sizes are much smaller than what is recomended in the chart. I tried to put it and sheer it!. I gues,
compression stocking,,Consistently found these stockings rolled up down by my ankles!,False,20,"This model may be ok for sedentary types, but I'm active and get around alot in my job - consistentl",
shipping,,I thought it was funny that I bought this product without knowing it was a mix.,False,21,I thought it was funny that I bought this product without knowing it was a mix. I read the header ve,
image quality,bootleg dealer,random pixelations combined with muddy light and vague image resolution,False,22,"Rather than scratches and insect droppings, this one has random pixelations combined with muddy ligh",
